maintenance_id,vehicle_id,detection_date,maintenance_date,component,issue_detected,maintenance_type,repair_duration_hours,cost_usd,parts_replaced,workshop_id,technician_id,severity,downtime_hours,odometer_reading,description
MNT-00003,EV-00037,2025-05-31 16:35:08.892493,2025-06-06 16:35:08.892493,Motor,Rotor Imbalance,Preventive,19,590,True,WS-005,TECH-004,Low,1,79708,Resolved Rotor Imbalance in Motor system
MNT-00095,EV-00010,2025-06-08 16:35:08.893265,2025-06-13 16:35:08.893265,Brake,Hydraulic Leak,Predictive,20,466,False,WS-005,TECH-042,Critical,43,13237,Resolved Hydraulic Leak in Brake system
MNT-00166,EV-00036,2025-06-08 16:35:08.893835,2025-06-09 16:35:08.893835,Charging,Onboard Charger Fault,Preventive,13,919,False,WS-002,TECH-024,Low,13,52117,Resolved Onboard Charger Fault in Charging system
MNT-00135,EV-00070,2025-06-09 16:35:08.893589,2025-06-13 16:35:08.893589,Brake,Regenerative Braking Failure,Predictive,10,1245,False,WS-009,TECH-047,High,16,5180,Resolved Regenerative Braking Failure in Brake system
MNT-00013,EV-00043,2025-06-11 16:35:08.892608,2025-06-15 16:35:08.892608,Battery,Cell Imbalance,Preventive,10,1654,False,WS-003,TECH-040,Low,17,45426,Resolved Cell Imbalance in Battery system
MNT-00097,EV-00023,2025-06-12 16:35:08.893281,2025-06-15 16:35:08.893281,Battery,Cell Imbalance,Corrective,19,2939,True,WS-001,TECH-044,Critical,12,100570,Resolved Cell Imbalance in Battery system
MNT-00011,EV-00079,2025-06-14 16:35:08.892591,2025-06-15 16:35:08.892591,Motor,Winding Insulation Failure,Preventive,7,826,True,WS-006,TECH-010,High,11,55324,Resolved Winding Insulation Failure in Motor system
MNT-00032,EV-00087,2025-06-20 16:35:08.892761,2025-06-22 16:35:08.892761,Brake,Hydraulic Leak,Corrective,11,563,True,WS-003,TECH-038,Critical,17,104180,Resolved Hydraulic Leak in Brake system
MNT-00194,EV-00092,2025-06-21 16:35:08.894058,2025-06-22 16:35:08.894058,Suspension,Spring Fatigue,Preventive,6,3200,True,WS-005,TECH-042,Critical,17,6795,Resolved Spring Fatigue in Suspension system
MNT-00083,EV-00025,2025-06-25 16:35:08.893170,2025-06-26 16:35:08.893170,Cooling,Coolant Pump Failure,Corrective,22,4619,False,WS-010,TECH-020,High,42,133339,Resolved Coolant Pump Failure in Cooling system
MNT-00163,EV-00004,2025-06-27 16:35:08.893811,2025-06-29 16:35:08.893811,Power Electronics,DC-DC Converter Failure,Predictive,19,3467,False,WS-001,TECH-026,High,8,109492,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00081,EV-00055,2025-06-30 16:35:08.893155,2025-07-01 16:35:08.893155,Cooling,Radiator Blockage,Preventive,16,4431,False,WS-009,TECH-027,Low,8,64228,Resolved Radiator Blockage in Cooling system
MNT-00167,EV-00013,2025-06-30 16:35:08.893842,2025-07-05 16:35:08.893842,Brake,Pad Wear Critical,Corrective,12,812,True,WS-009,TECH-015,Medium,18,90025,Resolved Pad Wear Critical in Brake system
MNT-00197,EV-00057,2025-07-01 16:35:08.894083,2025-07-03 16:35:08.894083,BMS,Communication Error,Corrective,13,2152,True,WS-003,TECH-001,Low,31,24166,Resolved Communication Error in BMS system
MNT-00109,EV-00006,2025-07-04 16:35:08.893381,2025-07-09 16:35:08.893381,Drivetrain,Gear Reduction Unit Wear,Predictive,17,3422,False,WS-007,TECH-040,Medium,34,9863,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00014,EV-00061,2025-07-07 16:35:08.892616,2025-07-11 16:35:08.892616,Power Electronics,DC-DC Converter Failure,Preventive,13,339,True,WS-008,TECH-036,High,41,126291,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00068,EV-00082,2025-07-07 16:35:08.893050,2025-07-14 16:35:08.893050,Brake,Hydraulic Leak,Preventive,18,1245,False,WS-005,TECH-043,High,21,107946,Resolved Hydraulic Leak in Brake system
MNT-00049,EV-00036,2025-07-09 16:35:08.892896,2025-07-12 16:35:08.892896,Power Electronics,Inverter Overheating,Corrective,2,3892,False,WS-006,TECH-041,Medium,47,146716,Resolved Inverter Overheating in Power Electronics system
MNT-00096,EV-00085,2025-07-10 16:35:08.893273,2025-07-12 16:35:08.893273,Power Electronics,DC-DC Converter Failure,Corrective,23,1464,False,WS-004,TECH-024,Low,41,22670,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00125,EV-00012,2025-07-10 16:35:08.893509,2025-07-12 16:35:08.893509,Suspension,Shock Absorber Failure,Corrective,17,3118,True,WS-002,TECH-047,Medium,35,59027,Resolved Shock Absorber Failure in Suspension system
MNT-00110,EV-00099,2025-07-11 16:35:08.893389,2025-07-13 16:35:08.893389,Power Electronics,Inverter Overheating,Preventive,20,3763,True,WS-004,TECH-014,High,42,76190,Resolved Inverter Overheating in Power Electronics system
MNT-00098,EV-00055,2025-07-12 16:35:08.893289,2025-07-16 16:35:08.893289,Charging,Onboard Charger Fault,Preventive,5,2739,True,WS-004,TECH-014,Critical,4,30917,Resolved Onboard Charger Fault in Charging system
MNT-00178,EV-00080,2025-07-13 16:35:08.893930,2025-07-19 16:35:08.893930,Suspension,Spring Fatigue,Preventive,4,3639,True,WS-004,TECH-046,High,11,68588,Resolved Spring Fatigue in Suspension system
MNT-00031,EV-00074,2025-07-15 16:35:08.892753,2025-07-20 16:35:08.892753,Motor,Bearing Wear,Predictive,10,2078,True,WS-004,TECH-018,Critical,13,132235,Resolved Bearing Wear in Motor system
MNT-00158,EV-00099,2025-07-15 16:35:08.893772,2025-07-22 16:35:08.893772,Power Electronics,Inverter Overheating,Preventive,24,4104,True,WS-005,TECH-048,Medium,31,28397,Resolved Inverter Overheating in Power Electronics system
MNT-00131,EV-00063,2025-07-18 16:35:08.893558,2025-07-25 16:35:08.893558,Motor,Winding Insulation Failure,Preventive,12,2459,False,WS-010,TECH-042,High,33,126075,Resolved Winding Insulation Failure in Motor system
MNT-00184,EV-00070,2025-07-18 16:35:08.893976,2025-07-22 16:35:08.893976,BMS,Communication Error,Predictive,9,4341,False,WS-008,TECH-045,Medium,40,10475,Resolved Communication Error in BMS system
MNT-00036,EV-00051,2025-07-23 16:35:08.892793,2025-07-24 16:35:08.892793,Cooling,Radiator Blockage,Predictive,19,3414,True,WS-003,TECH-035,High,30,34241,Resolved Radiator Blockage in Cooling system
MNT-00092,EV-00068,2025-07-23 16:35:08.893241,2025-07-26 16:35:08.893241,Cooling,Radiator Blockage,Preventive,2,3130,False,WS-005,TECH-016,Medium,19,81381,Resolved Radiator Blockage in Cooling system
MNT-00015,EV-00099,2025-07-24 16:35:08.892625,2025-07-27 16:35:08.892625,Cooling,Coolant Pump Failure,Predictive,13,3275,True,WS-008,TECH-045,Critical,23,98718,Resolved Coolant Pump Failure in Cooling system
MNT-00002,EV-00074,2025-07-25 16:35:08.892480,2025-07-27 16:35:08.892480,Motor,Bearing Wear,Corrective,14,2705,False,WS-010,TECH-049,Critical,13,118279,Resolved Bearing Wear in Motor system
MNT-00027,EV-00034,2025-07-25 16:35:08.892721,2025-07-29 16:35:08.892721,Suspension,Spring Fatigue,Corrective,21,845,True,WS-008,TECH-023,High,7,58736,Resolved Spring Fatigue in Suspension system
MNT-00172,EV-00093,2025-07-27 16:35:08.893882,2025-07-30 16:35:08.893882,Motor,Winding Insulation Failure,Predictive,17,2481,False,WS-007,TECH-024,High,19,61957,Resolved Winding Insulation Failure in Motor system
MNT-00105,EV-00071,2025-07-28 16:35:08.893343,2025-07-31 16:35:08.893343,Battery,Cell Imbalance,Predictive,17,3840,True,WS-008,TECH-040,High,19,147978,Resolved Cell Imbalance in Battery system
MNT-00094,EV-00004,2025-07-31 16:35:08.893257,2025-08-03 16:35:08.893257,Tire,Uneven Wear,Predictive,9,2918,False,WS-003,TECH-010,High,15,111803,Resolved Uneven Wear in Tire system
MNT-00069,EV-00079,2025-08-01 16:35:08.893058,2025-08-03 16:35:08.893058,Brake,Regenerative Braking Failure,Preventive,5,352,True,WS-004,TECH-028,Critical,39,68989,Resolved Regenerative Braking Failure in Brake system
MNT-00012,EV-00094,2025-08-02 16:35:08.892600,2025-08-06 16:35:08.892600,BMS,Communication Error,Corrective,15,4791,True,WS-001,TECH-027,Low,40,54895,Resolved Communication Error in BMS system
MNT-00084,EV-00080,2025-08-03 16:35:08.893178,2025-08-06 16:35:08.893178,Brake,Hydraulic Leak,Predictive,22,4687,False,WS-006,TECH-011,Low,44,92643,Resolved Hydraulic Leak in Brake system
MNT-00143,EV-00052,2025-08-07 16:35:08.893653,2025-08-10 16:35:08.893653,Charging,Onboard Charger Fault,Preventive,24,3846,False,WS-006,TECH-017,Critical,34,107624,Resolved Onboard Charger Fault in Charging system
MNT-00187,EV-00035,2025-08-07 16:35:08.893999,2025-08-14 16:35:08.893999,Motor,Winding Insulation Failure,Preventive,15,334,True,WS-004,TECH-008,High,29,41061,Resolved Winding Insulation Failure in Motor system
MNT-00020,EV-00006,2025-08-11 16:35:08.892666,2025-08-12 16:35:08.892666,Tire,Uneven Wear,Corrective,17,2871,False,WS-003,TECH-041,Critical,14,47107,Resolved Uneven Wear in Tire system
MNT-00029,EV-00072,2025-08-12 16:35:08.892738,2025-08-14 16:35:08.892738,Brake,Pad Wear Critical,Corrective,4,1904,False,WS-009,TECH-008,High,34,91563,Resolved Pad Wear Critical in Brake system
MNT-00046,EV-00081,2025-08-12 16:35:08.892872,2025-08-17 16:35:08.892872,Brake,Hydraulic Leak,Predictive,3,1439,False,WS-010,TECH-032,Medium,2,100375,Resolved Hydraulic Leak in Brake system
MNT-00138,EV-00046,2025-08-14 16:35:08.893613,2025-08-18 16:35:08.893613,Motor,Bearing Wear,Preventive,10,3845,False,WS-004,TECH-021,Critical,12,126508,Resolved Bearing Wear in Motor system
MNT-00165,EV-00032,2025-08-18 16:35:08.893827,2025-08-24 16:35:08.893827,Suspension,Spring Fatigue,Preventive,14,556,True,WS-004,TECH-022,High,22,106710,Resolved Spring Fatigue in Suspension system
MNT-00169,EV-00012,2025-08-18 16:35:08.893859,2025-08-22 16:35:08.893859,Brake,Regenerative Braking Failure,Predictive,18,4397,True,WS-007,TECH-006,Medium,1,117115,Resolved Regenerative Braking Failure in Brake system
MNT-00028,EV-00087,2025-08-20 16:35:08.892730,2025-08-24 16:35:08.892730,Brake,Regenerative Braking Failure,Preventive,13,623,False,WS-010,TECH-022,Critical,33,118041,Resolved Regenerative Braking Failure in Brake system
MNT-00103,EV-00085,2025-08-21 16:35:08.893328,2025-08-26 16:35:08.893328,Cooling,Coolant Pump Failure,Corrective,21,3606,True,WS-009,TECH-048,High,46,6620,Resolved Coolant Pump Failure in Cooling system
MNT-00137,EV-00086,2025-08-22 16:35:08.893605,2025-08-24 16:35:08.893605,Drivetrain,Gear Reduction Unit Wear,Predictive,1,1692,True,WS-003,TECH-017,High,11,87969,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00051,EV-00053,2025-08-25 16:35:08.892912,2025-09-01 16:35:08.892912,Suspension,Spring Fatigue,Preventive,6,4818,False,WS-010,TECH-030,Low,29,10552,Resolved Spring Fatigue in Suspension system
MNT-00060,EV-00059,2025-08-25 16:35:08.892985,2025-09-01 16:35:08.892985,Drivetrain,Gear Reduction Unit Wear,Preventive,16,1676,False,WS-009,TECH-022,Critical,21,148160,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00071,EV-00049,2025-08-27 16:35:08.893074,2025-09-02 16:35:08.893074,Battery,Cell Imbalance,Corrective,3,942,False,WS-007,TECH-029,Medium,24,117613,Resolved Cell Imbalance in Battery system
MNT-00171,EV-00025,2025-08-28 16:35:08.893874,2025-09-01 16:35:08.893874,Drivetrain,Gear Reduction Unit Wear,Corrective,24,253,True,WS-001,TECH-019,Low,37,99781,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00119,EV-00069,2025-08-29 16:35:08.893461,2025-09-03 16:35:08.893461,Cooling,Radiator Blockage,Corrective,5,1808,False,WS-008,TECH-001,High,37,42343,Resolved Radiator Blockage in Cooling system
MNT-00085,EV-00083,2025-08-30 16:35:08.893186,2025-09-06 16:35:08.893186,Cooling,Radiator Blockage,Preventive,16,1194,False,WS-008,TECH-012,High,5,109660,Resolved Radiator Blockage in Cooling system
MNT-00058,EV-00054,2025-09-02 16:35:08.892969,2025-09-07 16:35:08.892969,Cooling,Coolant Pump Failure,Preventive,6,1521,True,WS-010,TECH-035,Low,4,49265,Resolved Coolant Pump Failure in Cooling system
MNT-00179,EV-00078,2025-09-04 16:35:08.893937,2025-09-05 16:35:08.893937,Cooling,Coolant Pump Failure,Preventive,8,3052,False,WS-004,TECH-044,High,44,133384,Resolved Coolant Pump Failure in Cooling system
MNT-00136,EV-00071,2025-09-05 16:35:08.893597,2025-09-11 16:35:08.893597,BMS,Communication Error,Preventive,7,1083,True,WS-008,TECH-004,Critical,11,95934,Resolved Communication Error in BMS system
MNT-00024,EV-00003,2025-09-08 16:35:08.892697,2025-09-11 16:35:08.892697,Motor,Bearing Wear,Predictive,24,1275,True,WS-005,TECH-031,Critical,18,37896,Resolved Bearing Wear in Motor system
MNT-00021,EV-00015,2025-09-11 16:35:08.892674,2025-09-15 16:35:08.892674,Power Electronics,Inverter Overheating,Predictive,3,1753,True,WS-004,TECH-004,Low,35,86079,Resolved Inverter Overheating in Power Electronics system
MNT-00151,EV-00005,2025-09-12 16:35:08.893718,2025-09-16 16:35:08.893718,Power Electronics,DC-DC Converter Failure,Predictive,5,2845,False,WS-001,TECH-046,High,28,98694,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00153,EV-00032,2025-09-12 16:35:08.893733,2025-09-17 16:35:08.893733,BMS,Communication Error,Preventive,13,3875,True,WS-003,TECH-016,High,21,95374,Resolved Communication Error in BMS system
MNT-00070,EV-00013,2025-09-13 16:35:08.893066,2025-09-18 16:35:08.893066,Cooling,Coolant Pump Failure,Preventive,19,4716,True,WS-002,TECH-024,High,27,84649,Resolved Coolant Pump Failure in Cooling system
MNT-00019,EV-00014,2025-09-16 16:35:08.892658,2025-09-20 16:35:08.892658,BMS,Communication Error,Predictive,12,3627,True,WS-005,TECH-003,Critical,48,96792,Resolved Communication Error in BMS system
MNT-00161,EV-00100,2025-09-16 16:35:08.893795,2025-09-17 16:35:08.893795,Suspension,Shock Absorber Failure,Preventive,4,4378,True,WS-005,TECH-019,Medium,18,10076,Resolved Shock Absorber Failure in Suspension system
MNT-00073,EV-00100,2025-09-22 16:35:08.893090,2025-09-29 16:35:08.893090,Tire,Low Pressure,Preventive,17,2029,True,WS-010,TECH-037,Critical,33,118100,Resolved Low Pressure in Tire system
MNT-00090,EV-00028,2025-09-25 16:35:08.893226,2025-09-29 16:35:08.893226,Battery,Rapid SoH Degradation,Preventive,11,626,True,WS-003,TECH-041,Critical,47,38496,Resolved Rapid SoH Degradation in Battery system
MNT-00199,EV-00012,2025-10-01 16:35:08.894099,2025-10-03 16:35:08.894099,Suspension,Shock Absorber Failure,Preventive,13,3632,True,WS-006,TECH-018,Medium,8,148607,Resolved Shock Absorber Failure in Suspension system
MNT-00044,EV-00071,2025-10-02 16:35:08.892857,2025-10-06 16:35:08.892857,Brake,Pad Wear Critical,Preventive,7,2893,False,WS-010,TECH-009,Low,43,12182,Resolved Pad Wear Critical in Brake system
MNT-00114,EV-00089,2025-10-06 16:35:08.893423,2025-10-13 16:35:08.893423,Brake,Hydraulic Leak,Preventive,5,2259,False,WS-007,TECH-029,High,29,50891,Resolved Hydraulic Leak in Brake system
MNT-00129,EV-00048,2025-10-12 16:35:08.893542,2025-10-18 16:35:08.893542,Power Electronics,Inverter Overheating,Predictive,11,2273,False,WS-006,TECH-019,Low,0,114887,Resolved Inverter Overheating in Power Electronics system
MNT-00156,EV-00058,2025-10-12 16:35:08.893756,2025-10-19 16:35:08.893756,Motor,Bearing Wear,Preventive,24,4877,False,WS-008,TECH-003,High,27,130510,Resolved Bearing Wear in Motor system
MNT-00118,EV-00033,2025-10-13 16:35:08.893454,2025-10-20 16:35:08.893454,Cooling,Radiator Blockage,Predictive,13,3023,True,WS-004,TECH-047,Low,39,121208,Resolved Radiator Blockage in Cooling system
MNT-00157,EV-00001,2025-10-14 16:35:08.893764,2025-10-19 16:35:08.893764,Charging,Onboard Charger Fault,Corrective,11,2215,True,WS-010,TECH-043,Medium,9,91471,Resolved Onboard Charger Fault in Charging system
MNT-00053,EV-00018,2025-10-15 16:35:08.892928,2025-10-20 16:35:08.892928,Power Electronics,Inverter Overheating,Preventive,20,2935,False,WS-008,TECH-019,Low,4,41189,Resolved Inverter Overheating in Power Electronics system
MNT-00037,EV-00031,2025-10-23 16:35:08.892801,2025-10-29 16:35:08.892801,Power Electronics,DC-DC Converter Failure,Corrective,9,1352,True,WS-008,TECH-050,Medium,7,25992,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00182,EV-00011,2025-10-23 16:35:08.893960,2025-10-28 16:35:08.893960,Suspension,Spring Fatigue,Preventive,5,4315,False,WS-007,TECH-028,Critical,12,8375,Resolved Spring Fatigue in Suspension system
MNT-00045,EV-00072,2025-10-30 16:35:08.892865,2025-11-02 16:35:08.892865,Motor,Rotor Imbalance,Corrective,13,2019,False,WS-004,TECH-050,Critical,22,75235,Resolved Rotor Imbalance in Motor system
MNT-00078,EV-00007,2025-11-02 16:35:08.893131,2025-11-03 16:35:08.893131,Brake,Hydraulic Leak,Predictive,9,3169,True,WS-009,TECH-045,Low,0,21117,Resolved Hydraulic Leak in Brake system
MNT-00189,EV-00066,2025-11-02 16:35:08.894015,2025-11-04 16:35:08.894015,Motor,Winding Insulation Failure,Preventive,12,759,True,WS-005,TECH-020,High,27,70243,Resolved Winding Insulation Failure in Motor system
MNT-00042,EV-00086,2025-11-03 16:35:08.892840,2025-11-05 16:35:08.892840,Power Electronics,DC-DC Converter Failure,Predictive,3,840,False,WS-005,TECH-018,Low,46,28158,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00006,EV-00078,2025-11-07 16:35:08.892524,2025-11-12 16:35:08.892524,Brake,Pad Wear Critical,Predictive,18,3400,False,WS-003,TECH-022,Low,11,15536,Resolved Pad Wear Critical in Brake system
MNT-00026,EV-00070,2025-11-07 16:35:08.892713,2025-11-08 16:35:08.892713,Charging,Onboard Charger Fault,Predictive,10,2265,False,WS-004,TECH-010,Critical,3,14627,Resolved Onboard Charger Fault in Charging system
MNT-00162,EV-00024,2025-11-07 16:35:08.893803,2025-11-13 16:35:08.893803,Power Electronics,Inverter Overheating,Preventive,7,2069,True,WS-002,TECH-036,Low,32,83692,Resolved Inverter Overheating in Power Electronics system
MNT-00198,EV-00087,2025-11-07 16:35:08.894090,2025-11-08 16:35:08.894090,Battery,Cell Imbalance,Corrective,21,4606,False,WS-001,TECH-023,Low,13,141683,Resolved Cell Imbalance in Battery system
MNT-00072,EV-00080,2025-11-10 16:35:08.893082,2025-11-15 16:35:08.893082,Brake,Hydraulic Leak,Corrective,1,1143,True,WS-007,TECH-023,Medium,40,124062,Resolved Hydraulic Leak in Brake system
MNT-00148,EV-00086,2025-11-10 16:35:08.893694,2025-11-16 16:35:08.893694,Brake,Regenerative Braking Failure,Corrective,7,595,False,WS-010,TECH-025,Critical,15,92929,Resolved Regenerative Braking Failure in Brake system
MNT-00022,EV-00041,2025-11-12 16:35:08.892681,2025-11-18 16:35:08.892681,Brake,Hydraulic Leak,Preventive,2,2376,True,WS-003,TECH-029,Low,19,47137,Resolved Hydraulic Leak in Brake system
MNT-00200,EV-00098,2025-11-14 16:35:08.894107,2025-11-15 16:35:08.894107,Power Electronics,DC-DC Converter Failure,Preventive,7,4580,False,WS-006,TECH-017,Low,28,37897,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00040,EV-00019,2025-11-15 16:35:08.892825,2025-11-20 16:35:08.892825,Tire,Low Pressure,Predictive,15,289,False,WS-008,TECH-021,Low,16,23061,Resolved Low Pressure in Tire system
MNT-00101,EV-00100,2025-11-16 16:35:08.893312,2025-11-17 16:35:08.893312,Drivetrain,Gear Reduction Unit Wear,Corrective,14,2003,True,WS-001,TECH-037,Low,29,132812,Resolved Gear Reduction Unit Wear in Drivetrain system
MNT-00140,EV-00005,2025-11-16 16:35:08.893629,2025-11-18 16:35:08.893629,Brake,Regenerative Braking Failure,Preventive,2,2497,False,WS-001,TECH-023,High,15,114407,Resolved Regenerative Braking Failure in Brake system
MNT-00150,EV-00032,2025-11-17 16:35:08.893710,2025-11-23 16:35:08.893710,Charging,Onboard Charger Fault,Predictive,9,4576,False,WS-004,TECH-020,Medium,31,129243,Resolved Onboard Charger Fault in Charging system
MNT-00087,EV-00030,2025-11-18 16:35:08.893202,2025-11-24 16:35:08.893202,Tire,Uneven Wear,Predictive,13,2257,True,WS-005,TECH-039,Medium,30,78471,Resolved Uneven Wear in Tire system
MNT-00075,EV-00056,2025-11-21 16:35:08.893106,2025-11-22 16:35:08.893106,Motor,Rotor Imbalance,Corrective,8,4910,True,WS-009,TECH-007,Medium,40,128024,Resolved Rotor Imbalance in Motor system
MNT-00074,EV-00077,2025-11-22 16:35:08.893099,2025-11-27 16:35:08.893099,Battery,Cell Imbalance,Corrective,24,4496,True,WS-010,TECH-035,Low,29,29228,Resolved Cell Imbalance in Battery system
MNT-00116,EV-00051,2025-11-22 16:35:08.893438,2025-11-28 16:35:08.893438,Power Electronics,DC-DC Converter Failure,Corrective,2,2250,True,WS-009,TECH-020,High,6,66212,Resolved DC-DC Converter Failure in Power Electronics system
MNT-00108,EV-00100,2025-11-24 16:35:08.893374,2025-11-30 16:35:08.893374,Battery,Cell Imbalance,Preventive,9,2057,False,WS-001,TECH-018,Critical,34,99378,Resolved Cell Imbalance in Battery system
MNT-00176,EV-00011,2025-11-30 16:35:08.893914,2025-12-01 16:35:08.893914,Brake,Regenerative Braking Failure,Preventive,17,4377,True,WS-005,TECH-015,Low,48,128055,Resolved Regenerative Braking Failure in Brake system
MNT-00123,EV-00007,2025-12-03 16:35:08.893493,2025-12-04 16:35:08.893493,Power Electronics,Inverter Overheating,Predictive,16,1691,False,WS-002,TECH-050,High,40,64152,Resolved Inverter Overheating in Power Electronics system
MNT-00190,EV-00018,2025-12-08 16:35:08.894023,2025-12-09 16:35:08.894023,Power Electronics,Inverter Overheating,Predictive,1,1173,True,WS-003,TECH-015,Medium,26,12925,Resolved Inverter Overheating in Power Electronics system
